Id,Vuosi,Kuukausi,Neljannes,PainoKk,PainoQ,VkonPv,RajaPiste,Hsatama,AsMaa,Alue,RajaAsDist,Kansal,Sukup,Ikaryhma,KestoPv,KestoYo,PkYot,Mk1Yot,Mk2Yot,Mk3Yot,MatKestoFlag,Kulkuvaline,KulkuvalineFlag,MatTyyp,MatTyypFlag,MatTark,OpKesto,MuutMaat,PkKunta,PkMaakunta,PkSuuralue,PkRyhma,Mk1Kunta,Mk1Maakunta,Mk1Suuralue,Mk1Ryhma,Mk2Kunta,Mk2Maakunta,Mk2Suuralue,Mk2Ryhma,Mk3Kunta,Mk3Maakunta,Mk3Suuralue,Mk3Ryhma,Majoitus,Pake,PakeA,PakePL,PakeMPS,PakePMM,SegLuonto,SegUrhei,SegHyvin,SegKult,SegKaupu,SegTapah,SegOstos,SegKierto,SegEiMit,Yli50kmSuom,Yli50Auto,Yli50Juna,Yli50Lento,Yli50Linja,Yli50Laiva,Yli50Taksi,EnsiVaraus,EnsiVarausKk,Seura,SeuraAlle7v,Seura8_15v,PalaaKesa,PalaaTalvi,EURYht,EURMaj,EURRav,EURPolt,EURLiik,EURKult,EURMuu,EURYhtPv,EURMajYo,EURRavPv,EURPoltPv,EURLiikPv,EURKultPv,EURMuuPv,EURMajYoFlag,EURRavPvFlag,EURPoltPvFlag,EURLiikPvFlag,EURKultPvFlag,EURMuuPvFlag,RahaEM,RahaKat,RahaKortti,CO2Matka,CO2Liik,CO2Viip,CO2Yht,PainoKkEURMaj,PainoKkEURRav,PainoKkEURPolt,PainoKkEURLiik,PainoKkEURKult,PainoKkEURMuu,PainoKkEURYht,PainoKkCO2,PainoKkYo,PainoKkPv,PainoQEURMaj,PainoQEURRav,PainoQEURPolt,PainoQEURLiik,PainoQEURKult,PainoQEURMuu,PainoQEURYht,PainoQCO2,PainoQYo,PainoQPv
2023031007,2023,3,,696.87850467,,6,4,2,LV,,361.96139518,LV,1,3,7,6,6,,,,,1,,1,,1,,2,305,17,4,2,,,,,,,,,,,,,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,202301,2,3,,2,5,5,743.03448786,423.03448786,100,0,0,170,50,106.14778398,70.505747977,14.285714286,0,0,24.285714286,7.1428571429,i,,,,,,423.03448786,0,320,50.452966252,177.60474468,59.142857143,287.20056807,294803.64133,69687.850467,0,0,118469.34579,34843.925234,517804.76282,200.14390242,4181.271028,4878.1495327,,,,,,,,,,
2023031008,2023,3,,696.87850467,,6,4,2,LV,,361.96139518,LV,2,3,8,7,7,,,,,1,,1,,1,,2,305,17,4,2,,,,,,,,,,,,,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,202301,2,3,,1,5,5,660.2069025,493.54023584,0,0,0,0,166.66666667,82.525862813,70.505747977,0,0,0,0,20.833333333,i,,,,,,493.54023584,0,166.66666667,50.452966252,177.60474468,68,296.05771093,343937.58155,0,0,0,0,116146.41745,460083.99899,206.31625489,4878.1495327,5575.0280374,,,,,,,,,,
2023031019,2023,3,,606.56259955,,6,2,,FR,87,2447.7359429,FR,1,3,8,7,7,,,,,2,,1,,1,,2,261,19,4,3,,,,,,,,,,,,,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,202209,6,3,0,0,2,4,1827.486181,908.05481528,184.81500578,,,332.94042299,401.67593698,228.43577263,129.72211647,23.101875723,,,41.617552874,50.209492123,i,i,,,i,i,908.05481528,0,919.43136576,916.67411361,1.7020571153,76,994.37617073,550792.08929,112101.87034,,,201949.20847,243641.60051,1108484.7686,603.15139505,4245.9381969,4852.5007964,,,,,,,,,,
2023031020,2023,3,,696.87850467,,6,4,1,LV,,361.96139518,LV,2,1,9,8,8,,,,,1,,1,,1,,2,305,17,4,2,,,,,,,,,,,,,3,2,,,,,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,202302,1,3,,1,4,5,1755.166934,166,0,500,164.74757843,550,374.41935554,195.01854822,20.75,0,55.555555556,18.305286492,61.111111111,41.602150616,,,,i,,i,166,0,1589.166934,50.452966252,78.090692906,76.857142857,205.40080202,115681.83178,0,348439.25234,114809.04611,383283.17757,260924.80061,1223138.1084,143.13940377,5575.0280374,6271.9065421,,,,,,,,,,
2023031026,2023,3,,606.56259955,,6,2,,FR,90,2952.359357,FR,1,3,8,7,7,,,,,2,,1,,1,,2,261,19,4,3,,,,,,,,,,,,,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,202211,4,2,,,5,5,932.05069065,0,180.19463064,,154.64498976,264.39386532,332.81720493,116.50633633,0,22.52432883,,19.330623721,33.049233165,41.602150616,,i,,i,i,i,0,186.41013813,745.64055252,1044.3528298,3.8710556681,97,1145.2238855,0,109299.32359,,93801.866999,160371.43025,201874.469,565347.08984,694.64997705,4245.9381969,4852.5007964,,,,,,,,,,
2023031033,2023,3,,696.87850467,,6,4,1,EE,,82.281751739,EE,1,2,8,7,6,1,,,,1,,1,,1,,2,320,19,4,3,091,01,1,1,,,,,,,,,3,2,,,,,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,202302,1,3,,1,3,3,979.64498976,300,150,100,154.64498976,250,25,122.45562372,42.857142857,18.75,12.5,19.330623721,31.25,3.125,,,,i,,,300,0,679.64498976,20.620729097,84.333632259,68,172.95436136,209063.5514,104531.7757,69687.850467,107768.76922,174219.62617,17421.962617,682693.53558,120.52817672,4878.1495327,5575.0280374,,,,,,,,,,
2023031036,2023,3,,696.87850467,,6,4,2,US,153,6350.0713104,SG,1,2,7,6,6,,,,,1,,2,,6,,1,091,01,1,1,,,,,,,,,,,,,4,,,,,,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,202302,1,1,,,4,4,195,20,100,0,70,5,0,27.857142857,3.3333333333,14.285714286,0,10,0.7142857143,0,,,,,,,0,0,195,9.1658388342,1.1499101754,102,112.31574901,13937.570093,69687.850467,0,48781.495327,3484.3925234,0,135891.30841,78.270431221,4181.271028,4878.1495327,,,,,,,,,,
2023031037,2023,3,,1602.538388,,6,2,,BE,,2187.710202,BE,2,3,8,7,7,,,,,2,,1,,1,,1,261,19,4,3,,,,,,,,,,,,,8,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,202211,4,2,,,1,1,624.23348572,,180.19463064,,154.64498976,264.39386532,25,78.029185715,,22.52432883,,19.330623721,33.049233165,3.125,,i,,i,i,,0,0,624.23348572,406.12874285,3.8710556681,83,492.99979852,,288768.81291,,247824.53261,423701.31873,40063.459701,1000358.124,790.05110241,11217.768716,12820.307104,,,,,,,,,,
2023031039,2023,3,,272.51203336,,6,2,,NL,118,1920.3013944,NL,2,2,8,7,7,,,,,2,,1,,1,,2,047,19,4,3,,,,,,,,,,,,,1,2,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,202301,2,2,,,5,4,2964.3938653,2000,300,75,275,264.39386532,50,370.54923316,285.71428571,37.5,9.375,34.375,33.049233165,6.25,,,,,i,,0,0,2964.3938653,784.80890761,26.754654647,97,908.56356226,545024.06673,81753.610009,20438.402502,74940.809175,72050.509847,13625.601668,807832.99993,247.59450379,1907.5842335,2180.0962669,,,,,,,,,,
2023031040,2023,3,,272.51203336,,6,2,,NL,129,2074.9420098,NL,1,3,8,7,7,,,,,2,,1,,1,,2,261,19,4,3,,,,,,,,,,,,,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,202209,6,4,,,2,5,1721.3881486,908.05481528,333.33333333,,80,133.33333333,266.66666667,215.17351858,129.72211647,41.666666667,,10,16.666666667,33.333333333,i,,,,,,1108.0548153,0,613.33333333,760.24811986,5.3040529488,80.666666667,846.21883947,247455.86412,90837.344454,,21800.962669,36334.937782,72669.875564,469098.98459,230.60481662,1907.5842335,2180.0962669,,,,,,,,,,
